Task,User Input,Output
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me Drug: Nitrofurantoin","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Central Nervous System:** Headache, Dizziness, Drowsiness, Insomnia, Nervousness, Tremor, Seizures, Peripheral Neuropathy, Optic Neuritis, Psychosis
* **Gastrointestinal System:** Nausea, Vomiting, Diarrhea, Abdominal Pain, Anorexia, Dyspepsia, Stomatitis, Glossitis, Pancreatitis, Hepatitis, Jaundice
* **Hematologic System:** Anemia, Leukopenia, Thrombocytopenia, Agranulocytosis, Hemolytic Anemia, Megaloblastic Anemia, Pancytopenia
* **Renal System:** Crystalluria, Urinary Frequency, Urgency, Dysuria, Flank Pain, Hematuria, Proteinuria, Interstitial Nephritis, Nephrotic Syndrome, Acute Renal Failure
* **Skin:** Rash, Pruritus, Urticaria, Erythema Multiforme, Stevens-Johnson Syndrome, Toxic Epidermal Necrolysis, Photosensitivity
* **Other:** Fever, Chills, Hypersensitivity Reactions, Angioedema, Anaphylaxis, Vasculitis, Interstitial Pneumonitis, Gynecomastia, Impotence, Arthralgia, Myalgia, Fever, Chills, Flu-Like Symptoms

It Is Important To Note That Not Everyone Who Takes Nitrofurantoin Will Experience These Side Effects. If You Experience Any Side Effects, Be Sure To Talk To Your Doctor., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: really, take, urinary, infection, clear Topic 2: caused, medicine, macrobid, right, tract Topic 3: right, get, sick, nitrofurantoin, macrobid
Topic distribution for the review: Topic 1: 0.40 Topic 2: 0.22 Topic 3: 0.32
Dominant topic: Dominant topic: Topic 1

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me Drug: Nitrofurantoin","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Gastrointestinal:**
    * Nausea
    * Vomiting
    * Diarrhea
    * Stomach Pain
    * Constipation
    * Loss Of Appetite
    * Dry Mouth
    * Metallic Taste In The Mouth
* **Skin:**
    * Rash
    * Itching
    * Urticaria (Hives)
    * Flushing
    * Photosensitivity (Sensitivity To Sunlight)
* **Urinary:**
    * Burning Or Pain When Urinating
    * Frequent Urination
    * Blood In The Urine
    * Painful Urination
    * Urinary Tract Infection
* **Hematologic:**
    * Anemia (Low Red Blood Cell Count)
    * Leukopenia (Low White Blood Cell Count)
    * Thrombocytopenia (Low Platelet Count)
* **Nervous System:**
    * Headache
    * Dizziness
    * Drowsiness
    * Nervousness
    * Tremors
    * Convulsions
* **Liver:**
    * Liver Damage
    * Jaundice (Yellowing Of The Skin And Eyes)
* **Kidney:**
    * Kidney Damage
    * Kidney Failure
* **Allergic Reactions:**
    * Anaphylaxis (A Severe Allergic Reaction That Can Be Life-Threatening)
    * Angioedema (Swelling Of The Face, Lips, Tongue, Throat, And/Or Eyes)
* **Other:**
    * Fever
    * Chills
    * Fatigue
    * Weakness
    * Weight Loss
    * Hair Loss

If You Experience Any Of These Side Effects, It Is Important To Talk To Your Doctor. They Can Help You Determine If The Side Effects Are Serious And Need To Be Treated., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: really, take, urinary, infection, clear Topic 2: caused, medicine, macrobid, right, tract Topic 3: right, get, sick, nitrofurantoin, macrobid
Topic distribution for the review: Topic 1: 0.40 Topic 2: 0.22 Topic 3: 0.32
Dominant topic: Dominant topic: Topic 1

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Bupropion, Review: I felt like a zombie while taking it I tried it at different doses different times and it never made any difference Sure the major mood swings were gone but I stayed mostly sullen and indifferent I have been off it and on Paxil for six months and I firmly believe the change gave me my life back","Predicted Condition: Depression
Predicted Rating: 2
Side Effects: Here Are The Side Effects Of Bupropion, Categorized By Body System:

* **Central Nervous System**
    * Agitation
    * Anxiety
    * Dizziness
    * Headache
    * Insomnia
    * Nervousness
    * Seizures
    * Sleepwalking
    * Tremor
* **Cardiovascular System**
    * Palpitations
    * Tachycardia
* **Digestive System**
    * Dry Mouth
    * Diarrhea
    * Nausea
    * Vomiting
* **Endocrine System**
    * Decreased Libido
    * Sexual Dysfunction
* **Eye Problems**
    * Blurred Vision
* **General**
    * Asthenia
    * Chills
    * Fever
    * Fatigue
    * Flu-Like Symptoms
    * Weight Loss
* **Musculoskeletal System**
    * Arthralgia
    * Muscle Cramps
    * Myalgia
* **Skin**
    * Rash
    * Sweating
* **Urinary System**
    * Dysuria
    * Urinary Frequency
    * Urinary Retention

If You Experience Any Of These Side Effects, It Is Important To Talk To Your Doctor. They Can Help You Determine If The Side Effects Are Serious And If You Need To Stop Taking Bupropion., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: different, difference, major, like, indifferent Topic 2: gave, change, six, months, gone Topic 3: mood, stayed, months, made, swings
Topic distribution for the review: Topic 1: 0.47 Topic 2: 0.28 Topic 3: 0.17
Dominant topic: Dominant topic: Topic 1

Sentiment score: -0.52
Sentiment category: Negative

Sentiment distribution:
negative: 63 (48.8%)
positive: 55 (42.6%)
neutral: 11 (8.5%)
"
All Tasks,"Drug: Alli, Review: Do not waste your money I repeat do not waste  your money","Predicted Condition: Pain
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Alli, Categorized By Body System:

* **Digestive System:**
    * Abdominal Pain
    * Bloating
    * Diarrhea
    * Flatulence
    * Gas
    * Indigestion
    * Loose Stools
    * Nausea
    * Vomiting
* **Skin:**
    * Rash
    * Itching
* **Urinary System:**
    * Urinary Tract Infection (Uti)
* **General:**
    * Headache
    * Fatigue
    * Fever
    * Flu-Like Symptoms
    * Muscle Pain
    * Pain
    * Sore Throat
    * Vision Problems

If You Experience Any Of These Side Effects, Stop Taking Alli And Talk To Your Doctor., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: waste, money, repeat Topic 2: money, repeat, waste Topic 3: money, repeat, waste
Topic distribution for the review: Topic 1: 2.12 Topic 2: 0.15 Topic 3: 0.25
Dominant topic: Dominant topic: Topic 1

Sentiment score: 0.57
Sentiment category: Positive
The review is not negative. No visualization generated."
All Tasks,"Drug: Botox, Review: I have both cervical dystonia and spasmodic dysphonia I receive Botox injections in my neck shoulders and voice box The injections in my shoulders accompany the injections in my neck for cervical dystonia The injections in my shoulders leave my shoulders feeling knotted and cause frequent headaches and muscle pain My Neurologist told me the Botox should get rid of the pain and not cause it but in my case the headaches and muscle pain are noticeably there Does","Predicted Condition: Cervical Dystonia
Predicted Rating: 7
Side Effects: The Following Are The Side Effects Of Botox, Categorized By Body System:

* **Central Nervous System:** Headache, Dizziness, Fatigue, Drowsiness, Blurred Vision, Dry Mouth, Muscle Weakness, Speech Problems, And Trouble Swallowing.
* **Eye:** Double Vision, Drooping Eyelids, Dry Eyes, And Eye Pain.
* **Skin:** Redness, Swelling, Bruising, Itching, And Pain At The Injection Site.
* **Musculoskeletal System:** Muscle Cramps, Pain, And Weakness.
* **Urinary System:** Urinary Tract Infection, Urinary Retention, And Difficulty Urinating.
* **Digestive System:** Diarrhea, Constipation, Nausea, Vomiting, And Stomach Pain.
* **Respiratory System:** Dry Nose, Sore Throat, And Cough.
* **Cardiovascular System:** Chest Pain, Heart Palpitations, And High Blood Pressure.
* **Reproductive System:** Menstrual Cramps, Vaginal Discharge, And Vaginal Bleeding.
* **Immune System:** Allergic Reactions, Including Rash, Hives, And Swelling Of The Face, Lips, Tongue, Or Throat.
* **General:** Fever, Chills, Flu-Like Symptoms, And Pain.

If You Experience Any Of These Side Effects, It Is Important To Talk To Your Doctor., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: injections, shoulders, neck, pain, botox Topic 2: cervical, injections, headaches, dystonia, frequent Topic 3: shoulders, pain, rid, knotted, headaches
Topic distribution for the review: Topic 1: 0.23 Topic 2: 0.47 Topic 3: 0.31
Dominant topic: Dominant topic: Topic 2

Sentiment score: -0.82
Sentiment category: Negative

Sentiment distribution:
negative: 24 (63.2%)
positive: 13 (34.2%)
neutral: 1 (2.6%)
"
All Tasks,"Drug: Cefdinir, Review: I was prescribed Cefdinir after getting a sinus infection and bronchitis  It solved that problem in just a few days but after  days on it my diarrhea became intolerable far worse than the original sickness  I stopped taking Cefdinir  Its been over  weeks now of nonstop gastrointestinal pain that landed me an clonoscopy procedure stool cultures at the hospital and persistent diarrhea  The worst of which culminated in a near black out from pain on the toilet  My case may have been a rare exception but Im certain Cefdinir is no friend of mine","Predicted Condition: Sinusitis
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Cefdinir, Categorized By Body System:

* **Digestive System:** Diarrhea, Nausea, Vomiting, Stomach Pain, Indigestion, Loss Of Appetite, And Gas.
* **Skin:** Rash, Itching, And Hives.
* **Reproductive System:** Vaginal Yeast Infection.
* **Blood:** Decrease In White Blood Cells, Decrease In Platelets, And Anemia.
* **Liver:** Increase In Liver Enzymes.
* **Kidney:** Increase In Kidney Enzymes.
* **Nervous System:** Headache, Dizziness, And Drowsiness.
* **Allergic Reactions:** Rash, Itching, Hives, Swelling Of The Face, Lips, Tongue, Or Throat, Difficulty Breathing, And Wheezing.
* **Other:** Fever, Chills, Muscle Aches, And Fatigue.

If You Experience Any Of These Side Effects, Stop Taking Cefdinir And Call Your Doctor Right Away., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: cefdinir, days, diarrhea, pain, procedure Topic 2: sickness, taking, culminated, rare, bronchitis Topic 3: problem, worst, pain, mine, exception
Topic distribution for the review: Topic 1: 0.45 Topic 2: 0.22 Topic 3: 0.16
Dominant topic: Dominant topic: Topic 1

Sentiment score: -0.95
Sentiment category: Negative

Sentiment distribution:
negative: 22 (73.3%)
neutral: 5 (16.7%)
positive: 3 (10.0%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Gastrointestinal:**
    * Nausea
    * Vomiting
    * Diarrhea
    * Stomach Pain
    * Loss Of Appetite
    * Constipation
* **Urinary:**
    * Burning Or Pain When Urinating
    * Frequent Urination
    * Blood In The Urine
    * Painful Urination
* **Skin:**
    * Rash
    * Itching
    * Hives
* **Nervous System:**
    * Headache
    * Dizziness
    * Drowsiness
    * Tingling Or Numbness In The Hands Or Feet
* **Blood:**
    * Decreased White Blood Cell Count
    * Decreased Red Blood Cell Count
    * Decreased Platelet Count
* **Liver:**
    * Liver Damage
    * Jaundice
* **Kidney:**
    * Kidney Damage
    * Kidney Failure
* **Allergic Reactions:**
    * Anaphylaxis
    * Angioedema
    * Swelling Of The Face, Lips, Tongue, Or Throat
* **Other:**
    * Fever
    * Chills
    * Fatigue
    * Muscle Aches
    * Joint Pain

If You Experience Any Of These Side Effects, Stop Taking Nitrofurantoin And Call Your Doctor Right Away., Steroidal Info: Non-Steroidal
Top words for each topic: Topic 1: medicine, caused, tract, infection, take Topic 2: clear, sick, get, macrobid, urinary Topic 3: right, urinary, get, take, tract
Topic distribution for the review: Topic 1: 0.09 Topic 2: 0.42 Topic 3: 0.43
Dominant topic: Dominant topic: Topic 3

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: The Following Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Central Nervous System**
    * Headache
    * Dizziness
    * Drowsiness
    * Nervousness
    * Seizures
* **Gastrointestinal**
    * Nausea
    * Vomiting
    * Diarrhea
    * Abdominal Pain
    * Constipation
    * Anorexia
    * Pancreatitis
* **Hematologic**
    * Agranulocytosis
    * Thrombocytopenia
    * Hemolytic Anemia
* **Hepatic**
    * Hepatitis
    * Jaundice
* **Renal**
    * Nephrotoxicity
    * Crystalluria
* **Skin**
    * Rash
    * Pruritus
    * Urticaria
    * Stevens-Johnson Syndrome
    * Toxic Epidermal Necrolysis
* **Other**
    * Fever
    * Chills
    * Arthralgia
    * Myalgia
    * Photosensitivity
    * Lupus-Like Syndrome
    * Interstitial Nephritis
    * Allergic Reactions

If You Experience Any Of These Side Effects, Stop Taking Nitrofurantoin And Call Your Doctor Immediately.
Top words for each topic: Topic 1: medicine, caused, tract, infection, take Topic 2: clear, sick, get, macrobid, urinary Topic 3: right, urinary, get, take, tract
Topic distribution for the review: Topic 1: 0.09 Topic 2: 0.42 Topic 3: 0.43
Dominant topic: Dominant topic: Topic 3

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Gastrointestinal:**
    * Nausea
    * Vomiting
    * Diarrhea
    * Stomach Pain
    * Constipation
    * Flatulence
* **Skin:**
    * Rash
    * Itching
    * Urticaria (Hives)
    * Photosensitivity (Sensitivity To Sunlight)
* **Central Nervous System:**
    * Headache
    * Dizziness
    * Drowsiness
    * Nervousness
    * Insomnia
* **Urinary Tract:**
    * Burning Sensation When Urinating
    * Frequent Urination
    * Painful Urination
    * Blood In The Urine
* **Hematologic:**
    * Agranulocytosis (A Decrease In The Number Of White Blood Cells)
    * Hemolytic Anemia (A Decrease In The Number Of Red Blood Cells)
    * Thrombocytopenia (A Decrease In The Number Of Platelets)
* **Renal:**
    * Kidney Damage
    * Liver Damage
* **Other:**
    * Fever
    * Chills
    * Fatigue
    * Loss Of Appetite
    * Weight Loss

If You Experience Any Of These Side Effects, Stop Taking Nitrofurantoin And Call Your Doctor Right Away.
Top words for each topic: Topic 1: medicine, caused, tract, infection, take Topic 2: clear, sick, get, macrobid, urinary Topic 3: right, urinary, get, take, tract
Topic distribution for the review: Topic 1: 0.09 Topic 2: 0.42 Topic 3: 0.43
Dominant topic: Dominant topic: Topic 3

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Gastrointestinal:**
    * Nausea
    * Vomiting
    * Diarrhea
    * Stomach Pain
    * Constipation
    * Loss Of Appetite
    * Dry Mouth
    * Metallic Taste In The Mouth
* **Skin:**
    * Rash
    * Itching
    * Hives
    * Swelling Of The Face, Lips, Tongue, Or Throat
    * Redness Of The Skin
    * Blisters
* **Urinary:**
    * Burning Sensation When Urinating
    * Frequent Urination
    * Painful Urination
    * Blood In The Urine
* **Other:**
    * Headache
    * Dizziness
    * Fatigue
    * Fever
    * Chills
    * Joint Pain
    * Muscle Pain
    * Weakness
    * Yellowing Of The Skin Or Eyes
    * Swelling Of The Hands, Feet, Ankles, Or Legs
    * Difficulty Breathing
    * Wheezing
    * Chest Pain
    * Rapid Heart Rate
    * Lightheadedness
    * Fainting

If You Experience Any Of These Side Effects, Stop Taking Nitrofurantoin And Call Your Doctor Right Away.
Top words for each topic: Topic 1: medicine, caused, tract, infection, take Topic 2: clear, sick, get, macrobid, urinary Topic 3: right, urinary, get, take, tract
Topic distribution for the review: Topic 1: 0.09 Topic 2: 0.42 Topic 3: 0.43
Dominant topic: Dominant topic: Topic 3

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
All Tasks,"Drug: Nitrofurantoin, Review: Macrobid caused me to get really sick and did NOT clear up a urinary tract infection  I will not take this medicine again as it was not right for me","Predicted Condition: Urinary Tract Infection
Predicted Rating: 1
Side Effects: Here Are The Side Effects Of Nitrofurantoin, Categorized By Body System:

* **Gastrointestinal:**
    * Nausea
    * Vomiting
    * Diarrhea
    * Stomach Pain
    * Loss Of Appetite
    * Constipation
* **Skin:**
    * Rash
    * Itching
    * Urticaria (Hives)
* **Urinary:**
    * Burning Sensation When Urinating
    * Frequent Urination
    * Painful Urination
    * Blood In The Urine
* **Other:**
    * Fever
    * Chills
    * Headache
    * Dizziness
    * Fatigue
    * Joint Pain
    * Muscle Pain
    * Photosensitivity (Sensitivity To Sunlight)

If You Experience Any Of These Side Effects, Stop Taking Nitrofurantoin And Call Your Doctor Right Away.
Top words for each topic: Topic 1: medicine, caused, tract, infection, take Topic 2: clear, sick, get, macrobid, urinary Topic 3: right, urinary, get, take, tract
Topic distribution for the review: Topic 1: 0.09 Topic 2: 0.42 Topic 3: 0.43
Dominant topic: Dominant topic: Topic 3

Sentiment score: -0.70
Sentiment category: Negative

Sentiment distribution:
negative: 53 (64.6%)
positive: 27 (32.9%)
neutral: 2 (2.4%)
"
